,Age,EdLevel,MentalHealth,MainBranch,YearsCode,YearsCodePro,custom_employment
0,<35,Master,No,Dev,7,4,1
1,<35,Undergraduate,No,Dev,12,5,1
2,<35,Master,No,Dev,15,6,1
3,<35,Undergraduate,No,Dev,9,6,1
4,>35,PhD,No,NotDev,40,30,1
5,<35,Master,No,Dev,9,2,0
6,>35,Master,No,Dev,26,18,1
7,<35,Master,No,NotDev,14,5,1
8,>35,Undergraduate,No,Dev,39,21,1
9,>35,Master,No,Dev,20,16,0
10,<35,Undergraduate,Yes,Dev,4,2,1
11,<35,Undergraduate,Yes,Dev,6,2,0
12,<35,Master,No,Dev,19,10,1
13,<35,Undergraduate,No,Dev,8,Less than 1 year,1
14,>35,Other,Yes,Dev,20,15,1
15,<35,Master,No,NotDev,6,3,0
16,>35,Undergraduate,Yes,Dev,22,15,1
17,<35,Other,Yes,Dev,7,1,0
18,<35,Undergraduate,No,Dev,12,6,0
19,>35,Master,Yes,Dev,34,12,1
20,>35,Master,No,Dev,21,16,1
21,<35,Other,No,NotDev,5,3,0
22,<35,Undergraduate,Yes,NotDev,13,5,1
23,>35,Master,No,NotDev,6,5,1
24,>35,Other,Yes,Dev,25,10,1
25,>35,Master,No,Dev,20,10,1
26,>35,Undergraduate,No,Dev,24,18,1
27,<35,Master,No,NotDev,10,2,0
28,>35,Undergraduate,No,Dev,25,15,1
29,<35,Undergraduate,No,NotDev,12,8,1
30,>35,PhD,No,Dev,10,8,1
31,>35,Undergraduate,No,NotDev,10,3,1
32,<35,Undergraduate,No,Dev,12,7,1
33,<35,Master,No,Dev,25,6,1
34,>35,Other,No,Dev,31,17,1
35,<35,PhD,No,Dev,18,1,1
36,>35,Undergraduate,No,Dev,26,14,1
37,<35,Other,Yes,NotDev,20,10,1
38,<35,Undergraduate,Yes,Dev,10,Less than 1 year,1
39,<35,Undergraduate,No,Dev,10,4,0
40,<35,Master,No,Dev,10,7,0
41,<35,Master,No,Dev,8,3,1
42,<35,Other,Yes,Dev,18,8,0
43,<35,Undergraduate,No,Dev,4,1,0
44,>35,Master,No,Dev,38,26,1
45,<35,Undergraduate,No,Dev,10,3,1
46,<35,Undergraduate,No,Dev,10,8,0
47,<35,Undergraduate,No,Dev,8,3,0
48,<35,Other,No,Dev,6,1,0
49,<35,Master,No,Dev,13,2,0
50,<35,Undergraduate,No,Dev,10,2,1
51,<35,Other,No,Dev,3,Less than 1 year,0
52,<35,Undergraduate,No,Dev,12,6,1
53,<35,Other,No,Dev,6,4,0
54,>35,Other,Yes,NotDev,6,5,1
55,<35,Master,No,Dev,17,8,0
56,<35,Undergraduate,No,Dev,7,1,1
57,>35,Master,Yes,Dev,27,16,1
58,<35,Undergraduate,No,Dev,17,5,0
59,<35,Other,No,Dev,6,3,1
60,<35,Undergraduate,Yes,Dev,1,3,0
61,<35,Other,No,Dev,5,3,1
62,>35,Master,No,Dev,30,25,1
63,<35,Undergraduate,No,Dev,4,2,0
64,>35,Undergraduate,No,Dev,38,34,1
65,<35,Master,No,Dev,27,11,1
66,<35,Other,No,Dev,15,5,1
67,<35,Master,No,NotDev,2,2,0
68,<35,Master,No,Dev,7,5,1
69,>35,Undergraduate,No,Dev,31,25,1
70,<35,Undergraduate,Yes,NotDev,15,4,1
71,<35,Undergraduate,No,Dev,20,7,0
72,>35,Undergraduate,No,Dev,41,24,1
73,<35,Master,No,NotDev,9,6,1
74,<35,Undergraduate,No,Dev,8,7,1
75,<35,Master,No,Dev,13,8,1
76,<35,Undergraduate,No,NotDev,7,4,1
77,>35,PhD,No,Dev,42,22,1
78,>35,Undergraduate,No,Dev,8,4,0
79,<35,Other,Yes,Dev,4,2,0
80,>35,Master,No,NotDev,3,3,1
81,>35,Other,No,Dev,16,14,1
82,>35,Master,No,Dev,26,24,1
83,<35,Undergraduate,No,Dev,10,6,1
84,<35,Undergraduate,No,Dev,14,11,1
85,>35,Undergraduate,No,Dev,24,18,0
86,>35,Other,No,Dev,35,25,1
87,>35,Undergraduate,No,Dev,6,3,0
88,>35,Undergraduate,No,Dev,23,15,1
89,<35,Undergraduate,No,Dev,7,3,0
90,>35,Master,No,Dev,20,13,1
91,>35,Undergraduate,No,Dev,20,18,1
92,<35,Undergraduate,No,Dev,5,1,0
93,<35,Master,No,Dev,10,9,1
94,<35,Other,No,Dev,12,7,1
95,<35,Master,No,Dev,3,2,0
96,<35,Undergraduate,Yes,Dev,10,5,1
97,>35,Undergraduate,No,Dev,20,20,0
98,<35,Undergraduate,No,Dev,15,6,1
99,<35,Undergraduate,No,Dev,10,1,0
100,<35,Master,No,NotDev,9,2,1
101,<35,Undergraduate,No,Dev,10,6,1
102,<35,Undergraduate,Yes,Dev,9,4,0
103,>35,Master,No,NotDev,4,2,1
104,>35,Undergraduate,No,Dev,24,14,1
105,>35,Undergraduate,No,Dev,21,14,1
106,>35,Undergraduate,No,Dev,28,22,1
107,<35,PhD,Yes,Dev,15,9,1
108,<35,Undergraduate,No,Dev,10,8,1
109,>35,Undergraduate,No,Dev,31,26,1
110,>35,Master,Yes,Dev,12,9,1
111,<35,Undergraduate,No,Dev,6,2,0
112,<35,Undergraduate,No,Dev,14,7,1
113,<35,Master,No,Dev,15,5,1
114,>35,Undergraduate,Yes,Dev,30,22,1
115,<35,Undergraduate,Yes,Dev,13,3,0
116,<35,Other,Yes,Dev,10,5,1
117,<35,Undergraduate,Yes,Dev,12,7,1
