age;job;education;marital;default;balance;housing;loan;previous;y
58;management;tertiary;married;no;2143;yes;no;0;no
44;technician;secondary;single;no;29;yes;no;0;no
33;entrepreneur;secondary;married;no;2;yes;yes;0;no
47;blue-collar;unknown;single;no;1506;yes;no;0;no
33;unknown;unknown;married;no;1;no;no;0;no
35;management;tertiary;single;no;231;yes;no;0;yes
28;management;tertiary;single;no;447;yes;yes;0;no
42;entrepreneur;tertiary;married;yes;2;yes;no;0;no
58;retired;primary;married;no;121;yes;no;0;no
43;technician;secondary;married;no;593;yes;no;0;no
41;admin.;secondary;single;no;270;yes;no;0;no
29;admin.;secondary;single;no;390;yes;no;0;no
53;technician;secondary;married;no;6;yes;no;0;no
58;technician;unknown;married;no;71;yes;no;0;no
57;services;secondary;married;no;162;yes;no;0;no
51;retired;primary;married;no;229;yes;no;0;no
45;admin.;unknown;married;no;13;yes;no;0;no
57;blue-collar;primary;married;no;52;yes;no;0;no
60;retired;primary;single;no;60;yes;no;0;no
33;services;secondary;single;no;0;yes;no;0;yes
28;blue-collar;secondary;single;no;723;yes;yes;0;yes
56;management;tertiary;single;no;779;yes;no;0;no
32;blue-collar;primary;single;no;23;yes;yes;0;no
25;services;secondary;married;no;50;yes;no;0;no
40;retired;primary;single;no;0;yes;yes;0;no
44;admin.;secondary;single;no;-372;yes;no;0;no
39;management;tertiary;single;no;255;yes;no;0;no
52;entrepreneur;secondary;single;no;113;yes;yes;0;yes
46;management;secondary;single;no;-246;yes;no;0;no
36;technician;secondary;married;no;265;yes;yes;0;no
57;technician;secondary;married;no;839;no;yes;0;no
49;management;tertiary;married;no;378;yes;no;0;no
60;admin.;secondary;single;no;39;yes;yes;0;no
59;blue-collar;secondary;married;no;0;yes;no;0;no
51;management;tertiary;married;no;10635;yes;no;0;no
57;technician;secondary;married;no;63;yes;no;0;no
25;blue-collar;secondary;married;no;-7;yes;no;0;no
53;technician;secondary;single;no;-3;no;no;0;yes
36;admin.;secondary;married;no;506;yes;no;0;no
37;admin.;secondary;single;no;0;yes;no;0;no
44;services;secondary;single;no;2586;yes;no;0;no
50;management;secondary;single;no;49;yes;no;0;no
60;blue-collar;unknown;single;no;104;yes;no;0;yes
54;retired;secondary;married;no;529;yes;no;0;no
58;retired;unknown;married;no;96;yes;no;0;no
36;admin.;primary;married;no;-171;yes;no;0;no
58;self-employed;tertiary;married;no;-364;yes;no;0;no
44;technician;secondary;married;no;0;yes;no;0;no
55;technician;secondary;single;no;0;no;no;0;no
29;management;tertiary;single;no;0;yes;no;0;no
54;blue-collar;secondary;married;no;1291;yes;no;0;no
48;management;tertiary;married;no;-244;yes;no;0;no
32;management;tertiary;married;no;0;yes;no;0;no
42;admin.;secondary;single;no;-76;yes;no;0;no
24;technician;secondary;married;no;-103;yes;yes;0;no
38;entrepreneur;tertiary;married;no;243;no;yes;0;no
38;management;tertiary;married;no;424;yes;no;0;no
47;blue-collar;unknown;single;no;306;yes;no;0;no
40;blue-collar;unknown;single;no;24;yes;no;0;no
46;services;primary;married;no;179;yes;no;0;no
32;admin.;tertiary;married;no;0;yes;no;0;no
53;technician;secondary;married;no;989;yes;no;0;no
57;blue-collar;primary;married;no;249;yes;no;0;no
33;services;secondary;single;no;790;yes;no;0;no
49;blue-collar;unknown;married;no;154;yes;no;0;no
51;management;tertiary;married;no;6530;yes;no;0;no
60;retired;tertiary;married;no;100;no;no;0;no
59;management;tertiary;married;no;59;yes;no;0;no
55;technician;secondary;married;no;1205;yes;no;0;no
35;blue-collar;secondary;married;no;12223;yes;yes;0;no
57;blue-collar;secondary;married;no;5935;yes;yes;0;no
31;services;secondary;married;no;25;yes;yes;0;yes
54;management;secondary;married;no;282;yes;yes;0;yes
55;blue-collar;primary;married;no;23;yes;no;0;no
43;technician;secondary;married;no;1937;yes;no;0;no
53;technician;secondary;married;no;384;yes;no;0;no
44;blue-collar;secondary;married;no;582;no;yes;0;no
55;services;secondary;married;no;91;no;no;0;no
49;services;secondary;married;no;0;yes;yes;0;no
55;services;secondary;married;yes;1;yes;no;0;no
45;admin.;secondary;married;no;206;yes;no;0;no
47;services;secondary;married;no;164;no;no;0;no
42;technician;secondary;single;no;690;yes;no;0;no
