,Age,EdLevel,Gender,MainBranch,YearsCode,YearsCodePro,PreviousSalary,ComputerSkills,Employed
0,<35,Master,Man,Dev,7,4,51552.0,4,0
1,<35,Undergraduate,Man,Dev,12,5,46482.0,12,1
2,<35,Master,Man,Dev,15,6,77290.0,7,0
3,<35,Undergraduate,Man,Dev,9,6,46135.0,13,0
4,>35,PhD,Man,NotDev,40,30,160932.0,2,0
5,<35,Master,Man,Dev,9,2,38915.0,5,0
6,>35,Master,Man,Dev,26,18,77831.0,17,1
7,<35,Master,Man,NotDev,14,5,81319.0,4,0
8,>35,Undergraduate,Man,Dev,39,21,68507.0,3,0
9,>35,Master,Man,Dev,20,16,37752.0,6,0
10,<35,Undergraduate,Man,Dev,4,2,122580.0,18,1
11,<35,Undergraduate,Man,Dev,6,2,11832.0,13,1
12,<35,Master,Man,Dev,19,10,60535.0,5,0
13,<35,Undergraduate,Man,Dev,8,0,103000.0,7,0
14,<35,Master,Man,NotDev,6,3,25944.0,5,0
15,>35,Undergraduate,Man,Dev,22,15,60480.0,16,1
16,<35,Other,Man,Dev,7,1,20556.0,5,0
17,<35,Undergraduate,Man,Dev,12,6,25944.0,25,1
18,>35,Master,Man,Dev,34,12,64630.0,14,1
19,>35,Master,Man,Dev,21,16,54049.0,17,1
20,<35,Other,Man,NotDev,5,3,22644.0,12,0
21,>35,Other,Man,Dev,25,10,71850.0,6,0
22,>35,Master,Man,Dev,20,10,58373.0,7,1
23,>35,Undergraduate,Man,Dev,24,18,129266.0,12,0
24,<35,Master,Man,NotDev,10,2,25944.0,7,0
25,>35,Undergraduate,Man,Dev,25,15,105000.0,6,0
26,<35,Undergraduate,Man,NotDev,12,8,45564.0,39,1
27,>35,PhD,Man,Dev,10,8,151263.0,8,0
28,>35,Undergraduate,Man,NotDev,10,3,40500.0,8,0
29,<35,Undergraduate,Man,Dev,12,7,43908.0,24,1
30,<35,Master,Man,Dev,25,6,42336.0,21,1
31,>35,Other,Man,Dev,31,17,95295.0,10,1
32,<35,PhD,Man,Dev,18,1,100000.0,8,0
33,>35,Undergraduate,Man,Dev,26,14,61398.0,10,1
34,<35,NoHigherEd,Man,NotDev,20,10,108098.0,17,1
35,<35,Undergraduate,Man,Dev,10,4,27336.0,21,1
36,<35,Master,Man,Dev,10,7,5216.0,4,0
37,<35,Master,Man,Dev,8,3,151337.0,11,0
38,<35,Other,Man,Dev,18,8,24648.0,18,1
39,<35,Undergraduate,Man,Dev,4,1,7788.0,5,0
40,>35,Master,Man,Dev,38,26,134176.0,14,1
